country_id,year,match_id
1,2003,65
1,2003,66
1,2003,1411
1,2003,1412
1,2003,19255
1,2003,19259
1,2003,19260
1,2005,17439
1,2005,17464
1,2005,17467
1,2005,17515
1,2006,16958
1,2006,16995
1,2007,2470
1,2007,2471
1,2008,3276
1,2008,3277
1,2008,3283
1,2008,3285
1,2008,3287
1,2008,5458
1,2008,6148
1,2008,12279
1,2008,12649
1,2008,12700
1,2009,11929
1,2009,12053
1,2009,35450
1,2010,7325
1,2011,3919
1,2011,3927
1,2011,9770
1,2011,9773
1,2011,10152
1,2011,10157
1,2011,10264
1,2011,10266
1,2011,10284
1,2011,10285
1,2011,10286
1,2011,10287
1,2013,4599
1,2013,4601
1,2013,4604
1,2013,8035
1,2013,8700
1,2013,8711
1,2013,8718
1,2013,8731
1,2013,8798
1,2013,8862
1,2014,10347
1,2014,10440
1,2014,10532
1,2014,10533
1,2014,10548
1,2014,10557
1,2014,10573
1,2014,10603
1,2014,10607
1,2015,12404
1,2015,13102
1,2015,13108
1,2015,13167
1,2015,13284
1,2015,13784
1,2015,13832
1,2015,13961
1,2015,14072
1,2015,14144
1,2015,14417
1,2015,14420
1,2015,14423
1,2015,14425
1,2016,14426
1,2016,14866
1,2016,14936
1,2016,15815
1,2016,15940
1,2016,16041
1,2017,17051
1,2017,17121
1,2017,17622
1,2017,17721
1,2017,18068
1,2017,18165
1,2017,18429
1,2017,18538
1,2018,19727
1,2018,20520
1,2018,21707
1,2018,21797
1,2019,22526
1,2019,22606
1,2019,23198
1,2019,23863
1,2019,23972
1,2019,24162
1,2019,24377
1,2019,24502
1,2021,30935
1,2021,30936
1,2021,30957
1,2021,31089
1,2021,31121
1,2021,32561
1,2022,34662
1,2022,34779
1,2022,34845
1,2022,34902
1,2023,36880
1,2023,36890
1,2023,37276
1,2023,37400
1,2023,37444
1,2023,37475
1,2023,37579
1,2023,37661
1,2023,37802
1,2024,38623
1,2024,38761
1,2024,39039
1,2024,39158
1,2024,40162
1,2024,40229
1,2025,41054
1,2025,41138
1,2025,41693
1,2025,42105
1,2025,42115
1,2025,42129
1,2025,42373
1,2025,42491
1,2026,44212
12,1995,27342
12,1995,27343
12,1995,27381
12,1995,27382
12,1995,27383
12,1995,27384
12,1995,27385
12,1995,27386
12,1995,27387
12,1996,7420
12,1996,26524
12,1996,26530
12,1996,26531
12,1996,26532
12,1996,26533
12,1996,26534
12,1996,26535
12,1996,26536
12,1996,26537
12,1996,26538
12,1996,26539
12,1997,25629
12,1997,25632
12,1997,25648
12,1997,25649
12,1997,25650
12,1997,25651
12,1997,25652
12,1997,25653
12,1997,25654
12,1997,25655
12,1997,25656
12,1997,25657
12,1997,25658
12,1997,25659
12,1997,25660
12,1997,25661
12,1997,25662
12,1997,25663
12,1997,25664
12,1998,24983
12,1998,24984
12,1998,24985
12,1998,24986
12,1998,24987
12,1998,24988
12,1998,24989
12,1998,24990
12,1998,24991
12,2000,22248
12,2000,22249
12,2000,22250
12,2000,22251
12,2000,22252
12,2000,22253
12,2000,22254
12,2000,22255
12,2000,22256
12,2000,22257
12,2000,22258
12,2000,22259
12,2000,22260
12,2000,22261
12,2000,22262
12,2001,20929
12,2001,20936
12,2001,20955
12,2001,20958
12,2001,20983
12,2001,20998
12,2001,20999
12,2001,21000
12,2001,21001
12,2001,21002
12,2001,21003
12,2001,21004
12,2001,21005
12,2001,21006
12,2001,21007
12,2001,21008
12,2002,19794
12,2002,19795
12,2002,19796
12,2002,19797
12,2002,19798
12,2003,18821
12,2003,18822
12,2003,18823
12,2004,891
12,2004,2149
12,2004,2152
12,2004,2155
12,2004,2158
12,2004,2161
12,2004,2162
12,2004,17906
12,2004,17907
12,2004,17909
12,2004,17910
12,2004,17911
12,2005,906
12,2005,908
12,2005,17280
12,2005,17287
12,2005,17304
12,2005,17354
12,2005,17355
12,2005,17356
12,2005,17357
12,2005,17358
12,2005,17359
12,2005,17360
12,2006,32
12,2006,33
12,2006,36
12,2006,53
12,2006,1579
12,2006,1581
12,2006,1582
12,2006,1583
12,2006,13899
12,2006,14281
12,2006,14336
12,2006,14372
12,2006,14609
12,2007,1510
12,2007,1512
12,2007,1514
12,2007,1534
12,2007,12957
12,2007,12965
12,2007,12966
12,2007,12967
12,2007,12968
12,2007,12969
12,2008,2494
12,2008,2496
12,2008,2498
12,2008,2501
12,2008,2503
12,2008,2504
12,2008,2556
12,2008,2558
12,2008,2560
12,2008,12220
12,2008,12339
12,2008,12340
12,2008,12341
12,2009,2562
12,2009,2566
12,2009,2569
12,2009,2571
12,2009,2573
12,2009,3186
12,2009,3188
12,2009,3189
12,2009,3191
12,2009,11635
12,2009,11636
12,2009,11637
12,2010,2207
12,2010,2210
12,2010,2212
12,2010,3194
12,2010,3195
12,2010,10431
12,2010,10479
12,2010,10480
12,2010,10481
12,2010,10482
12,2010,10483
12,2010,10484
12,2010,10485
12,2011,3999
12,2011,4000
12,2011,4002
12,2011,4004
12,2011,4006
12,2011,8274
12,2011,9786
12,2011,9804
12,2011,9847
12,2011,9865
12,2011,9866
12,2011,9867
12,2011,9868
12,2011,9869
12,2011,9870
12,2011,9871
12,2011,9872
12,2012,4008
12,2012,4039
12,2012,4040
12,2012,4043
12,2012,4045
12,2012,8477
12,2012,8522
12,2012,8523
12,2012,8524
12,2012,8525
12,2012,8526
12,2012,8527
12,2012,8528
12,2013,4049
12,2013,7850
12,2013,8027
12,2013,8114
12,2013,8172
12,2013,8459
