country_id,country_slug,year,page_url,average_height,average_age,match_count,match_ids,scraped_at_utc
1,Afghanistan,2017,https://national-football-teams.com/country/1/2017/Afghanistan.html,1.78m,24.7,8,"['17051/Afghanistan_Singapore.html', '17121/Afghanistan_Vietnam.html', '17622/Afghanistan_Maldives.html', '17721/Cambodia_Afghanistan.html', '18068/Oman_Afghanistan.html', '18165/Jordan_Afghanistan.html', '18429/Afghanistan_Jordan.html', '18538/Vietnam_Afghanistan.html']",2026-04-16T09:33:22+00:00
1,Afghanistan,2018,https://national-football-teams.com/country/1/2018/Afghanistan.html,1.77m,24.6,4,"['21707/Afghanistan_Turkmenistan.html', '21797/Turkmenistan_Afghanistan.html', '19727/Afghanistan_Cambodia.html', '20520/Afghanistan_Palestine.html']",2026-04-16T09:33:22+00:00
1,Afghanistan,2019,https://national-football-teams.com/country/1/2019/Afghanistan.html,1.77m,25.1,8,"['22526/Oman_Afghanistan.html', '22606/Malaysia_Afghanistan.html', '23198/Tajikistan_Afghanistan.html', '23863/Qatar_Afghanistan.html', '23972/Afghanistan_Bangladesh.html', '24162/Oman_Afghanistan.html', '24377/Afghanistan_India.html', '24502/Afghanistan_Qatar.html']",2026-04-16T09:33:34+00:00
1,Afghanistan,2020,https://national-football-teams.com/country/1/2020/Afghanistan.html,0m,0,0,[],2026-04-16T09:33:34+00:00
1,Afghanistan,2021,https://national-football-teams.com/country/1/2021/Afghanistan.html,1.79m,27,6,"['30935/Indonesia_Afghanistan.html', '30936/Singapore_Afghanistan.html', '30957/Bangladesh_Afghanistan.html', '31089/Afghanistan_Oman.html', '31121/India_Afghanistan.html', '32561/Afghanistan_Indonesia.html']",2026-04-16T09:33:34+00:00
1,Afghanistan,2022,https://national-football-teams.com/country/1/2022/Afghanistan.html,1.79m,27.4,4,"['34662/Vietnam_Afghanistan.html', '34779/Hong_Kong_Afghanistan.html', '34845/India_Afghanistan.html', '34902/Afghanistan_Cambodia.html']",2026-04-16T09:33:34+00:00
1,Afghanistan,2023,https://national-football-teams.com/country/1/2023/Afghanistan.html,1.78m,24.5,9,"['36880/Kyrgyzstan_Afghanistan.html', '36890/Iran_Afghanistan.html', '37276/Bangladesh_Afghanistan.html', '37444/Bangladesh_Afghanistan.html', '37400/Philippines_Afghanistan.html', '37475/Afghanistan_Mongolia.html', '37579/Mongolia_Afghanistan.html', '37661/Qatar_Afghanistan.html', '37802/Afghanistan_Kuwait.html']",2026-04-16T09:33:34+00:00
1,Afghanistan,2024,https://national-football-teams.com/country/1/2024/Afghanistan.html,1.79m,26.4,6,"['38623/Afghanistan_India.html', '38761/India_Afghanistan.html', '39039/Afghanistan_Qatar.html', '39158/Kuwait_Afghanistan.html', '40229/Nepal_Afghanistan.html', '40162/Tajikistan_Afghanistan.html']",2026-04-16T09:33:34+00:00
1,Afghanistan,2025,https://national-football-teams.com/country/1/2025/Afghanistan.html,1.8m,25.9,8,"['41054/Thailand_Afghanistan.html', '41138/Myanmar_Afghanistan.html', '41693/Afghanistan_Syria.html', '42105/Iran_Afghanistan.html', '42115/Tajikistan_Afghanistan.html', '42129/Afghanistan_India.html', '42373/Pakistan_Afghanistan.html', '42491/Afghanistan_Pakistan.html']",2026-04-16T09:33:35+00:00
1,Afghanistan,2026,https://national-football-teams.com/country/1/2026/Afghanistan.html,1.79m,22.9,1,['44212/Myanmar_Afghanistan.html'],2026-04-16T09:33:35+00:00
